mp_id,property,tool_value,step1_naive_output,step2_corrected_output,is_corrected
mp-619575,band_gap,2.5175,The band gap of mp-619575 is 2.5175.,2.5175,True
mp-619575,formation_energy_per_atom,-0.6182932559375001,The formation energy per atom for mp-619575 is -0.6182932559375001.,-0.6182932559375001,True
mp-9851,band_gap,0.1063,The band gap of mp-9851 is 0.1063.,0.1063,True
mp-9851,formation_energy_per_atom,-0.630045229146825,The formation energy per atom for mp-9851 is approximately -0.63 eV.,-0.630045229146825,True
mp-2793,band_gap,0.262799999999999,The band gap of mp-2793 is approximately 0.263 eV.,0.262799999999999,True
mp-2793,formation_energy_per_atom,-0.140219074531245,The formation energy per atom of mp-2793 is -0.140219074531245.,-0.140219074531245,True
mp-23184,band_gap,4.7135,The band gap of mp-23184 is 4.7135.,4.7135,True
mp-23184,formation_energy_per_atom,-1.0426612775,The formation energy per atom of mp-23184 is -1.0426612775.,-1.0426612775,True
mp-1213622,band_gap,0.5263,The band gap of mp-1213622 is 0.5263.,0.5263,True
mp-1213622,formation_energy_per_atom,-1.5970489985714291,The formation energy per atom for mp-1213622 is approximately -1.60 eV.,-1.5970489985714291,True
mp-30140,band_gap,4.1443,The band gap of mp-30140 is 4.1443.,4.1443,True
mp-30140,formation_energy_per_atom,-0.836349655000001,The formation energy per atom of mp-30140 is -0.836349655 eV.,-0.836349655000001,True
mp-1232276,band_gap,0.4328,The band gap of mp-1232276 is 0.4328.,0.4328,True
mp-1232276,formation_energy_per_atom,-2.021422001041666,The formation energy per atom for mp-1232276 is approximately -2.021422001041666 eV.,-2.021422001041666,True
mp-1227290,band_gap,0.1101,The band gap of mp-1227290 is 0.1101.,0.1101,True
mp-1227290,formation_energy_per_atom,-0.006925372499999,The formation energy per atom for mp-1227290 is approximately -0.0069253725 eV.,-0.0069253725,True
mp-1170,formation_energy_per_atom,-0.473969728541665,The formation energy per atom of mp-1170 is approximately -0.474 eV.,-0.473969728541665,True
mp-1170,band_gap,1.514799999999999,The band gap of mp-1170 is approximately 1.51 eV.,1.51,True
mp-32633,band_gap,0.5265000000000001,The band gap of mp-32633 is approximately 0.53 eV.,0.5265000000000001,True
mp-32633,formation_energy_per_atom,-1.930073411158088,The formation energy per atom for mp-32633 is -1.93 eV.,-1.930073411158088,True
mp-1195922,band_gap,0.376,The band gap of mp-1195922 is 0.376.,0.376,True
mp-1195922,formation_energy_per_atom,-0.417257172291664,The formation energy per atom of mp-1195922 is -0.417257172291664.,-0.417257172291664,True
mp-254,formation_energy_per_atom,-4.452365858958333,The formation energy per atom for mp-254 is approximately -4.45 eV.,-4.452365858958333,True
mp-254,band_gap,7.6164,The band gap of mp-254 is 7.6164.,7.6164,True
mp-18299,band_gap,0.2155,The band gap of mp-18299 is 0.2155.,0.2155,True
mp-18299,formation_energy_per_atom,-3.992617684583336,The formation energy per atom for mp-18299 is -3.992617684583336.,-3.992617684583336,True
mp-23185,band_gap,2.8624,The band gap of mp-23185 is 2.8624.,2.8624,True
mp-23185,formation_energy_per_atom,-0.857616325999999,The formation energy per atom for mp-23185 is approximately -0.858 eV.,-0.857616325999999,True
mp-23290,formation_energy_per_atom,-0.475064009999998,The formation energy per atom of mp-23290 is -0.475 eV.,-0.475064009999998,True
mp-30031,band_gap,3.8971,The band gap of mp-30031 is 3.8971.,3.8971,True
mp-23290,band_gap,1.7917,The band gap of mp-23290 is 1.7917.,1.7917,True
mp-30031,formation_energy_per_atom,-1.89441126,The formation energy per atom for mp-30031 is -1.89441126.,-1.89441126,True
mp-555908,band_gap,2.2721,The band gap of mp-555908 is 2.2721.,2.2721,True
mp-555908,formation_energy_per_atom,-2.341685073333334,The formation energy per atom for mp-555908 is -2.341685073333334.,-2.341685073333334,True
mp-22398,band_gap,3.1061,The band gap of mp-22398 is 3.1061.,3.1061,True
mp-27628,band_gap,1.3552,The band gap of mp-27628 is 1.3552.,1.3552,True
mp-22398,formation_energy_per_atom,-2.648772015416667,The formation energy per atom of mp-22398 is -2.65 eV.,-2.648772015416667,True
mp-27628,formation_energy_per_atom,-0.3329571455,The formation energy per atom for mp-27628 is approximately -0.33 eV.,-0.3329571455,True
mp-1212833,band_gap,0.3912,The band gap of mp-1212833 is 0.3912.,0.3912,True
mp-1212833,formation_energy_per_atom,-0.299415060454546,The formation energy per atom of mp-1212833 is -0.299415060454546.,-0.299415060454546,True
mp-571518,band_gap,1.9169,The band gap of mp-571518 is 1.9169.,1.9169,True
mp-571518,formation_energy_per_atom,-0.946381717857144,The formation energy per atom of mp-571518 is -0.946381717857144.,-0.946381717857144,True
mp-9852,band_gap,0.1259,The band gap of mp-9852 is 0.1259.,0.1259,True
mp-9852,formation_energy_per_atom,-0.616732226646824,The formation energy per atom of mp-9852 is -0.617 eV.,-0.616732226646824,True
mp-34202,band_gap,0.3388,The band gap of mp-34202 is 0.3388.,0.3388,True
mp-34202,formation_energy_per_atom,-0.274401004000003,The formation energy per atom of mp-34202 is -0.274401004000003 eV.,-0.274401004000003,True
mp-570796,band_gap,1.537399999999999,The band gap of mp-570796 is approximately 1.5374.,1.5374,True
mp-570796,formation_energy_per_atom,-0.7330447383333331,The formation energy per atom of mp-570796 is -0.7330447383333331.,-0.7330447383333331,True
mp-1195,band_gap,1.8930999999999991,The band gap of mp-1195 is approximately 1.89 eV.,1.89,True
mp-1195,formation_energy_per_atom,-0.50608046735294,The formation energy per atom for mp-1195 is -0.50608046735294.,-0.50608046735294,True
mp-672204,band_gap,0.378699999999999,The band gap of mp-672204 is approximately 0.3787.,0.3787,True
mp-672204,formation_energy_per_atom,-0.400380674374999,The formation energy per atom for mp-672204 is -0.40 eV.,-0.400380674374999,True
mp-29179,band_gap,3.1002,The band gap of mp-29179 is 3.1002.,3.1002,True
mp-29179,formation_energy_per_atom,-1.055039141666666,The formation energy per atom for mp-29179 is approximately -1.055 eV.,-1.055039141666666,True
mp-1205121,band_gap,0.2452,The band gap of mp-1205121 is 0.2452.,0.2452,True
mp-1205121,formation_energy_per_atom,-0.510760389375001,The formation energy per atom for mp-1205121 is -0.510760389375001.,-0.510760389375001,True
mp-10497,band_gap,2.2919,The band gap of mp-10497 is 2.2919.,2.2919,True
mp-10497,formation_energy_per_atom,-0.127321634999998,The formation energy per atom of mp-10497 is -0.127321634999998.,-0.127321634999998,True
mp-27148,band_gap,0.836199999999999,The band gap of mp-27148 is approximately 0.836 eV.,"The numerical value is: 0.836199999999999 

Simplified to: 0.836",True
mp-1545417,band_gap,0.7358999999999991,The band gap of mp-1545417 is approximately 0.736 eV.,0.7359,True
mp-27148,formation_energy_per_atom,-0.319383066011903,The formation energy per atom of mp-27148 is -0.319383066011903.,-0.319383066011903,True
mp-1545417,formation_energy_per_atom,-1.718154452499998,The formation energy per atom of mp-1545417 is -1.718 eV.,-1.718,True
mp-1203760,formation_energy_per_atom,-0.553621656590911,The formation energy per atom of mp-1203760 is -0.553621656590911.,-0.553621656590911,True
mp-1203760,band_gap,1.0648,The band gap of mp-1203760 is 1.0648.,1.0648,True
mp-470,formation_energy_per_atom,-2.156655663333334,The formation energy per atom for mp-470 is -2.156655663333334 eV.,-2.156655663333334,True
mp-470,band_gap,1.2157,The band gap of mp-470 is 1.2157.,1.2157,True
mp-16922,band_gap,0.3248,The band gap of mp-16922 is 0.3248.,0.3248,True
mp-16922,formation_energy_per_atom,-0.962356391249998,The formation energy per atom for mp-16922 is approximately -0.962 eV.,-0.962356391249998,True
mp-624,formation_energy_per_atom,-0.209188941071428,The formation energy per atom of mp-624 is -0.209 eV.,-0.209188941071428,True
mp-624,band_gap,2.6454,The band gap of mp-624 is 2.6454.,2.6454,True
mp-22859,band_gap,1.6513,The band gap of mp-22859 is 1.6513.,1.6513,True
mp-22859,formation_energy_per_atom,-0.443566703750002,The formation energy per atom of mp-22859 is -0.443566703750002 eV.,-0.443566703750002,True
mp-31050,band_gap,3.6753,The band gap of mp-31050 is 3.6753.,3.6753,True
mp-31050,formation_energy_per_atom,-0.30258604611111,The formation energy per atom for mp-31050 is -0.30258604611111.,-0.30258604611111,True
mp-541013,band_gap,1.0859,The band gap of mp-541013 is 1.0859.,1.0859,True
mp-541013,formation_energy_per_atom,-1.031189425666664,The formation energy per atom for mp-541013 is -1.031189425666664.,-1.031189425666664,True
mp-18536,band_gap,0.208499999999999,The band gap of mp-18536 is approximately 0.2085.,0.2085,True
mp-18536,formation_energy_per_atom,-1.128947433749999,The formation energy per atom of mp-18536 is approximately -1.13 eV.,-1.128947433749999,True
mp-200,band_gap,0.861699999999999,The band gap of mp-200 is approximately 0.86 eV.,0.8617,True
mp-200,formation_energy_per_atom,-0.514802012604166,The formation energy per atom for mp-200 is approximately -0.5148 eV.,-0.514802012604166,True
mp-23261,formation_energy_per_atom,-0.7564620653571411,The formation energy per atom of mp-23261 is -0.7564620653571411.,-0.7564620653571411,True
mp-23261,band_gap,2.7278,The band gap of mp-23261 is 2.7278.,2.7278,True
mp-7440,formation_energy_per_atom,-0.499863119613094,The formation energy per atom of mp-7440 is approximately -0.5 eV.,-0.499863119613094,True
mp-7440,band_gap,0.8684000000000001,The band gap of mp-7440 is approximately 0.87 eV.,0.8684000000000001,True
mp-569867,band_gap,0.378,The band gap of mp-569867 is 0.378.,0.378,True
mp-569867,formation_energy_per_atom,-0.7546754528571421,The formation energy per atom of mp-569867 is -0.7546754528571421.,-0.7546754528571421,True
mp-1205852,band_gap,0.8523000000000001,The band gap of mp-1205852 is approximately 0.85 eV.,0.8523,True
mp-1205852,formation_energy_per_atom,-2.094997655499997,The formation energy per atom of mp-1205852 is -2.094997655499997.,-2.094997655499997,True
mp-28483,band_gap,1.069899999999999,The band gap of mp-28483 is approximately 1.07 eV.,1.07,True
mp-28483,formation_energy_per_atom,-0.9345107228571432,The formation energy per atom of mp-28483 is -0.9345 eV.,-0.9345107228571432,True
mp-561664,band_gap,4.0186,The band gap of mp-561664 is 4.0186.,4.0186,True
mp-561664,formation_energy_per_atom,-2.216336207,The formation energy per atom for mp-561664 is -2.216336207 eV.,-2.216336207,True
mp-27871,band_gap,1.2584,The band gap of mp-27871 is 1.2584.,1.2584,True
mp-27871,formation_energy_per_atom,-0.8457965725000001,The formation energy per atom of mp-27871 is approximately -0.8458 eV.,-0.8457965725000001,True
mp-680339,band_gap,0.755599999999999,The band gap of mp-680339 is approximately 0.756 eV.,0.7556,True
mp-680339,formation_energy_per_atom,-0.28327900617555,The formation energy per atom for mp-680339 is -0.283 eV.,-0.28327900617555,True
mp-582753,band_gap,0.8007000000000001,The band gap of mp-582753 is approximately 0.80 eV.,0.8007000000000001,True
mp-582753,formation_energy_per_atom,-0.434993182323239,The formation energy per atom for mp-582753 is -0.435 eV.,-0.434993182323239,True
mp-30092,band_gap,3.4576,The band gap of mp-30092 is 3.4576.,3.4576,True
mp-30092,formation_energy_per_atom,-1.725360933333334,The formation energy per atom for mp-30092 is approximately -1.725 eV.,-1.725360933333334,True
mp-27161,band_gap,2.9118,The band gap of mp-27161 is 2.9118.,2.9118,True
mp-27161,formation_energy_per_atom,-0.8721765856249991,The formation energy per atom for mp-27161 is -0.8721765856249991 eV.,-0.8721765856249991,True
mp-1018138,band_gap,1.037,The band gap of mp-1018138 is 1.037.,1.037,True
mp-1018138,formation_energy_per_atom,-0.7411700000000001,The formation energy per atom for mp-1018138 is approximately -0.74 eV.,-0.7411700000000001,True
mp-23155,band_gap,8.5132,The band gap of mp-23155 is 8.5132.,8.5132,True
mp-23155,formation_energy_per_atom,0.0,The formation energy per atom of mp-23155 is 0.0 eV.,The clean numerical value is: 0.0,True
mp-1197742,band_gap,0.8515,The band gap of mp-1197742 is 0.8515.,0.8515,True
mp-647579,band_gap,3.2214,The band gap of mp-647579 is 3.2214.,3.2214,True
mp-1197742,formation_energy_per_atom,-0.327354584285715,The formation energy per atom of mp-1197742 is -0.327354584285715.,-0.327354584285715,True
mp-647579,formation_energy_per_atom,-1.267659339375001,The formation energy per atom of mp-647579 is approximately -1.2677 eV.,-1.267659339375001,True
mp-15649,band_gap,0.8155000000000001,The band gap of mp-15649 is approximately 0.8155 eV.,0.8155,True
mp-557993,band_gap,1.1596,The band gap of mp-557993 is 1.1596.,1.1596,True
mp-15649,formation_energy_per_atom,-0.571072849166668,The formation energy per atom of mp-15649 is -0.571072849166668.,-0.571072849166668,True
mp-7904,band_gap,0.6551,The band gap of mp-7904 is 0.6551.,0.6551,True
mp-557993,formation_energy_per_atom,-1.459764126666667,The formation energy per atom for mp-557993 is -1.459764126666667 eV.,-1.459764126666667,True
mp-7904,formation_energy_per_atom,-0.120742532380951,The formation energy per atom of mp-7904 is -0.120742532380951.,-0.120742532380951,True
mp-570738,band_gap,2.4744,The band gap of mp-570738 is 2.4744.,2.4744,True
mp-570738,formation_energy_per_atom,-0.727731253611111,The formation energy per atom of mp-570738 is approximately -0.7277 eV.,-0.727731253611111,True
mp-628742,band_gap,0.5845,The band gap of mp-628742 is 0.5845.,0.5845,True
mp-628742,formation_energy_per_atom,-0.486485566153847,The formation energy per atom of mp-628742 is -0.486485566153847.,-0.486485566153847,True
mp-1204356,band_gap,1.8389,The band gap of mp-1204356 is 1.8389.,1.8389,True
mp-1204356,formation_energy_per_atom,-0.305946444868422,The formation energy per atom for mp-1204356 is approximately -0.3059 eV/atom.,-0.305946444868422,True
mp-7262,band_gap,0.224099999999999,The band gap of mp-7262 is approximately 0.224 eV.,0.224,True
mp-7262,formation_energy_per_atom,-0.148990749583333,The formation energy per atom for mp-7262 is approximately -0.149 eV.,-0.148990749583333,True
mp-28879,band_gap,1.1418,The band_gap of mp-28879 is 1.1418.,1.1418,True
mp-28879,formation_energy_per_atom,-1.057331754908424,The formation energy per atom of mp-28879 is -1.057331754908424.,-1.057331754908424,True
mp-27684,formation_energy_per_atom,-0.932556454761906,The formation energy per atom of mp-27684 is -0.93 eV.,-0.932556454761906,True
mp-27684,band_gap,1.099199999999999,The band_gap of mp-27684 is approximately 1.10.,1.0992,True
mp-541404,band_gap,0.7584000000000001,The band gap of mp-541404 is approximately 0.76 eV.,0.7584000000000001,True
mp-541404,formation_energy_per_atom,-2.522468176666668,The formation energy per atom for mp-541404 is approximately -2.522 eV.,-2.522468176666668,True
mp-1391848,band_gap,2.0863,The band gap of mp-1391848 is 2.0863.,2.0863,True
mp-1391848,formation_energy_per_atom,-2.063723397142856,The formation energy per atom of mp-1391848 is -2.063723397142856.,-2.063723397142856,True
mp-1184796,band_gap,8.0745,The band gap of mp-1184796 is 8.0745.,8.0745,True
mp-1184796,formation_energy_per_atom,-1.406990803749999,The formation energy per atom of mp-1184796 is approximately -1.407 eV.,-1.406990803749999,True
mp-9268,band_gap,0.7039000000000001,The band gap of mp-9268 is approximately 0.70 eV.,0.7039000000000001,True
mp-9268,formation_energy_per_atom,-1.167954419796875,The formation energy per atom for mp-9268 is approximately -1.17 eV.,-1.167954419796875,True
mp-540922,band_gap,0.1806,The band gap of mp-540922 is 0.1806.,0.1806,True
mp-540922,formation_energy_per_atom,-0.450521733124998,The formation energy per atom for mp-540922 is -0.45 eV.,-0.450521733124998,True
mp-540675,band_gap,3.0664,The band gap of mp-540675 is 3.0664.,3.0664,True
mp-540675,formation_energy_per_atom,-0.349825507562499,The formation energy per atom of mp-540675 is -0.35 eV.,-0.349825507562499,True
mp-571235,formation_energy_per_atom,-1.227871009333331,The formation energy per atom for mp-571235 is approximately -1.23 eV.,-1.227871009333331,True
mp-571235,band_gap,2.021,The band gap of mp-571235 is 2.021.,2.021,True
mp-1208424,band_gap,2.5242,The band gap of mp-1208424 is 2.5242.,2.5242,True
mp-1208424,formation_energy_per_atom,-0.812674219083331,The formation energy per atom of mp-1208424 is -0.812674219083331.,-0.812674219083331,True
mp-27971,band_gap,5.0865,The band gap of mp-27971 is 5.0865.,5.0865,True
mp-27971,formation_energy_per_atom,-2.788094297499999,The formation energy per atom for mp-27971 is -2.788094297499999.,-2.788094297499999,True
mp-22909,band_gap,4.0533,The band gap of mp-22909 is 4.0533.,4.0533,True
mp-22909,formation_energy_per_atom,-1.291011926666667,The formation energy per atom for mp-22909 is approximately -1.29 eV.,-1.291011926666667,True
mp-556516,band_gap,0.7668,The band gap of mp-556516 is 0.7668.,0.7668,True
mp-556516,formation_energy_per_atom,-0.505116372129634,The formation energy per atom of mp-556516 is -0.505 eV.,-0.505116372129634,True
mp-21526,band_gap,0.5708000000000001,The band gap of mp-21526 is approximately 0.57 eV.,0.5708000000000001,True
mp-21526,formation_energy_per_atom,-0.362189247187497,The formation energy per atom for mp-21526 is -0.362 eV.,-0.362189247187497,True
mp-1274279,formation_energy_per_atom,-1.481519387499999,The formation energy per atom of mp-1274279 is approximately -1.48 eV.,-1.481519387499999,True
mp-1274279,band_gap,1.8157,The band gap of mp-1274279 is 1.8157.,1.8157,True
mp-554855,band_gap,1.5712000000000002,The band gap of mp-554855 is approximately 1.57 eV.,1.5712000000000002,True
mp-554855,formation_energy_per_atom,-2.60675029,The formation energy per atom of mp-554855 is -2.60675029 eV.,-2.60675029,True
mp-510557,band_gap,4.2395,The band gap of mp-510557 is 4.2395.,4.2395,True
mp-510557,formation_energy_per_atom,-0.216854790312499,The formation energy per atom for mp-510557 is -0.216854790312499 eV.,-0.216854790312499,True
mp-27291,band_gap,0.155399999999999,The band gap of mp-27291 is approximately 0.1554 eV.,0.1554,True
mp-27291,formation_energy_per_atom,-2.149853655000001,The formation energy per atom for mp-27291 is -2.15 eV.,-2.149853655000001,True
mp-568348,formation_energy_per_atom,0.0,The formation energy per atom for mp-568348 is 0.0.,0.0,True
mp-568348,band_gap,1.8454,The band gap of mp-568348 is 1.8454.,1.8454,True
mp-2084,band_gap,0.9437999999999992,The band gap of mp-2084 is approximately 0.94 eV.,0.9437999999999992,True
mp-2084,formation_energy_per_atom,-0.6734596323437501,The formation energy per atom of mp-2084 is approximately -0.6735 eV.,-0.6734596323437501,True
mp-995393,band_gap,2.1989,The band gap of mp-995393 is 2.1989.,2.1989,True
mp-995393,formation_energy_per_atom,-0.612184769666665,The formation energy per atom of mp-995393 is -0.61 eV.,-0.612184769666665,True
mp-1345,band_gap,0.3443,The band gap of mp-1345 is 0.3443.,0.3443,True
mp-1345,formation_energy_per_atom,-1.2564584531547611,The formation energy per atom for mp-1345 is approximately -1.256 eV.,-1.2564584531547611,True
mp-1193140,band_gap,1.8661999999999992,The band gap of mp-1193140 is approximately 1.87 eV.,1.8661999999999992,True
mp-1193140,formation_energy_per_atom,-0.743681253794641,The formation energy per atom for mp-1193140 is -0.74 eV.,-0.743681253794641,True
mp-29657,band_gap,0.665199999999999,The band_gap of mp-29657 is approximately 0.665 eV.,0.6652,True
mp-29657,formation_energy_per_atom,-0.214525574374999,The formation energy per atom of mp-29657 is -0.214525574375 eV.,-0.214525574375,True
mp-23265,band_gap,2.0054,The band gap of mp-23265 is 2.0054.,2.0054,True
mp-542812,band_gap,1.0066,The band gap of mp-542812 is 1.0066.,1.0066,True
mp-23265,formation_energy_per_atom,-2.506313930624998,The formation energy per atom for mp-23265 is -2.506313930624998.,-2.506313930624998,True
mp-542812,formation_energy_per_atom,-0.442993200833332,The formation energy per atom for mp-542812 is approximately -0.443 eV.,-0.442993200833332,True
mp-10802,band_gap,0.5879000000000001,The band gap of mp-10802 is approximately 0.588 eV.,0.5879000000000001,True
mp-10802,formation_energy_per_atom,-0.417557193125,The formation energy per atom for mp-10802 is -0.417557193125.,-0.417557193125,True
mp-27725,band_gap,2.0942,The band gap of mp-27725 is 2.0942.,2.0942,True
mp-27725,formation_energy_per_atom,-0.265866406249999,The formation energy per atom for mp-27725 is -0.2659 eV.,-0.265866406249999,True
mp-1080428,band_gap,0.8728,The band gap of mp-1080428 is 0.8728.,0.8728,True
mp-1080428,formation_energy_per_atom,-1.326321304000006,The formation energy per atom for mp-1080428 is -1.326321304000006.,-1.326321304000006,True
mp-569561,band_gap,3.1165,The band gap of mp-569561 is 3.1165.,3.1165,True
mp-743,band_gap,4.1608,The band gap of mp-743 is 4.1608.,4.1608,True
mp-569561,formation_energy_per_atom,-0.639768098499999,The formation energy per atom for mp-569561 is approximately -0.64 eV.,-0.639768098499999,True
mp-743,formation_energy_per_atom,-0.140204309375,The formation energy per atom of mp-743 is -0.140204309375.,-0.140204309375,True
mp-484,band_gap,0.4326,The band gap of mp-484 is 0.4326 eV.,0.4326,True
mp-484,formation_energy_per_atom,-0.001508734,The formation energy per atom for mp-484 is -0.001508734.,-0.001508734,True
mp-1864,band_gap,0.1139,The band gap of mp-1864 is 0.1139.,0.1139,True
mp-1864,formation_energy_per_atom,-0.678575252480158,The formation energy per atom of mp-1864 is -0.678575252480158.,-0.678575252480158,True
mp-30520,band_gap,1.667899999999999,The band gap of mp-30520 is approximately 1.67 eV.,1.667899999999999,True
mp-30520,formation_energy_per_atom,-0.498485183452379,The formation energy per atom of mp-30520 is -0.498485183452379 eV.,-0.498485183452379,True
mp-23221,band_gap,3.429599999999999,The band gap of mp-23221 is approximately 3.43 eV.,3.429599999999999,True
mp-23221,formation_energy_per_atom,-2.306216135416666,The formation energy per atom for mp-23221 is -2.306216135416666 eV.,-2.306216135416666,True
mp-149,band_gap,0.6105,The band gap of mp-149 is 0.6105.,0.6105,True
mp-1863,band_gap,1.451899999999999,The band gap of mp-1863 is approximately 1.45 eV.,1.45,True
mp-149,formation_energy_per_atom,0.0,The formation energy per atom of mp-149 is 0.0 eV.,0.0,True
